Page            Page Rank                 No. of Outlinks      No. of Inlinks 
WT05-B09-121    0.0003011881969884226     1                    34             
WT01-B11-115    0.0003011586893972501     10                   73             
WT08-B02-134    0.0003009443139931925     75                   74             
WT04-B30-256    0.00029682203649799985    9                    301            
WT18-B18-148    0.00029488041118379027    11                   165            
WT13-B30-405    0.0002940262529836098     20                   186            
WT07-B14-25     0.00029233639279476045    62                   62             
WT18-B40-82     0.0002910896653788231     0                    576            
WT12-B40-235    0.0002906767095328797     12                   355            
WT13-B16-451    0.0002905937968817947     3                    291            
WT02-B03-141    0.0002863389213853448     53                   54             
WT08-B24-320    0.0002847906757549065     0                    2              
WT10-B14-65     0.00028385116435398436    2                    87             
WT27-B25-363    0.000282735483325075      1                    37             
WT15-B34-52     0.0002825070324588804     14                   264            
WT27-B28-200    0.00028230360011761394    1                    4              
WT04-B38-159    0.0002813403794849349     36                   254            
WT18-B38-25     0.00028051557815927003    1                    155            
WT24-B26-381    0.00027902856432737       10                   4              
WT15-B34-57     0.0002774788881230482     6                    264            
WT19-B34-131    0.00027682212674650525    2                    134            
WT12-B33-212    0.0002753405615260479     0                    209            
WT15-B34-56     0.00027403622731813894    4                    264            
WT01-B01-33     0.0002739749579474989     11                   122            
WT25-B29-410    0.0002735110149051858     2                    113            
WT27-B28-171    0.00027336661463321144    26                   3              
WT24-B02-93     0.0002720996313638475     77                   76             
WT23-B27-41     0.0002719599203524299     1                    193            
WT15-B34-58     0.00027114328300696183    4                    263            
WT13-B34-124    0.0002685863611780537     4                    93             
WT16-B27-21     0.00026780872467438573    56                   58             
WT07-B11-415    0.0002661305581125935     55                   55             
WT02-B16-121    0.00026585441124633104    2                    107            
WT02-B16-122    0.00026585441124633104    3                    107            
WT24-B26-382    0.00026554580606279524    5                    3              
WT10-B39-186    0.00026519127041058435    9                    97             
WT02-B29-123    0.0002616055498398998     10                   184            
WT02-B29-124    0.0002616055498398998     5                    184            
WT02-B29-125    0.0002616055498398998     3                    184            
WT12-B17-36     0.00026089867082487354    0                    213            
WT02-B28-19     0.00026000838463804916    10                   183            
WT02-B28-20     0.00026000838463804916    5                    183            
WT02-B28-21     0.00026000838463804916    3                    183            
WT13-B14-26     0.00025968821023126783    10                   137            
WT13-B25-53     0.00025860412825617397    19                   69             
WT27-B27-452    0.00025846248447157857    18                   142            
WT17-B22-102    0.00025791375576576385    1                    19             
WT27-B04-182    0.0002570331907955755     17                   152            
WT11-B06-41     0.00025595283340919104    1                    95             
WT07-B17-219    0.00025215339115584537    4                    79             
WT04-B38-150    0.0002518609619605774     6                    229            
WT18-B39-107    0.00024841722654913765    6                    124            
WT18-B24-215    0.0002471659417135447     9                    77             
WT14-B20-107    0.00024681381097453695    4                    94             
WT13-B16-438    0.00024626943527473414    10                   198            
WT27-B04-181    0.00024388924861837798    3                    208            
WT13-B16-461    0.00024375611187724575    2                    199            
WT07-B40-402    0.00024330479166583243    1                    52             
WT12-B24-131    0.00024296064970641228    16                   84             
WT24-B12-246    0.00024279067586060232    51                   54             
WT24-B28-186    0.00024241607857464022    34                   154            
WT24-B13-88     0.00024162626483121007    51                   52             
WT27-B29-141    0.00024146491614171397    0                    1              
WT20-B02-231    0.0002405012255130681     11                   107            
WT18-B38-24     0.00023994509760875607    13                   1              
WT19-B34-114    0.00023614993814222       14                   78             
WT07-B22-386    0.0002348424375359825     8                    114            
WT12-B12-11     0.00023394653548194894    80                   73             
WT12-B40-254    0.00023265007991938075    17                   334            
WT07-B14-21     0.00023217862377846298    49                   49             
WT07-B02-55     0.00023206968954191267    5                    266            
WT06-B14-159    0.0002320558011398258     1                    27             
WT02-B15-103    0.00023160970109698559    45                   110            
WT22-B07-427    0.00023150617454631187    140                  108            
WT14-B02-106    0.0002312281205563359     10                   89             
WT04-B35-13     0.00023116677629839215    1                    130            
WT27-B25-361    0.00023074532386335036    214                  118            
WT22-B07-425    0.0002305557252097916     2                    144            
WT08-B09-307    0.00023028443207771132    6                    240            
WT14-B12-412    0.00022795323543060755    1                    10             
WT24-B18-75     0.00022725018041164856    7                    91             
WT05-B15-106    0.0002246152800551859     37                   39             
WT12-B17-270    0.00022431973685345578    8                    183            
WT08-B09-311    0.0002238912320318574     187                  232            
WT13-B31-359    0.00022077740754139672    53                   53             
WT11-B06-47     0.00022057848733416776    7                    3              
WT10-B14-91     0.00021899842912866238    1                    88             
WT01-B01-261    0.0002172237062397471     2                    76             
WT24-B28-188    0.00021648590573491406    5                    166            
WT01-B01-252    0.00021617517250721986    9                    76             
WT02-B28-217    0.00021566247258816176    9                    162            
WT02-B28-218    0.00021566247258816176    4                    162            
WT02-B28-219    0.00021566247258816176    6                    162            
WT02-B28-220    0.00021566247258816176    4                    162            
WT23-B30-103    0.00021532025859004927    7                    58             
WT02-B28-264    0.0002150792219798816     9                    163            
WT02-B28-265    0.0002150792219798816     4                    163            
WT02-B28-266    0.0002150792219798816     6                    163            
WT02-B28-267    0.0002150792219798816     4                    163            
WT23-B30-98     0.000213918696411662      8                    155            
WT25-B13-353    0.00021251348452782184    1                    40             
WT12-B30-421    0.0002125001429741824     12                   109            
WT26-B22-334    0.00021191832648331186    7                    11             
WT15-B34-80     0.00021166331393901894    4                    133            
WT08-B01-1      0.0002105023709443447     1                    3              
WT14-B25-212    0.000209740428153797      44                   45             
WT15-B37-80     0.00020970867614248645    44                   45             
WT15-B34-82     0.00020918741281055652    4                    132            
WT24-B23-99     0.00020907568118621857    44                   46             
WT24-B28-187    0.00020889773992768297    4                    166            
WT24-B28-189    0.00020889773992768297    4                    166            
WT10-B35-224    0.00020841805555018778    23                   102            
WT15-B34-81     0.00020822065313410944    6                    133            
WT24-B04-120    0.0002063288882077813     7                    86             
WT18-B36-78     0.00020557842025617712    15                   116            
WT13-B06-280    0.0002052006886800614     2                    273            
WT24-B28-190    0.00020496012510741633    4                    155            
WT23-B30-105    0.00020470542619719238    64                   379            
WT04-B18-119    0.00020456590973556062    1                    35             
WT10-B14-735    0.00020418829941913958    0                    2              
WT08-B31-104    0.0002037822940604116     42                   42             
WT15-B34-53     0.00020362526265009907    14                   134            
WT12-B17-255    0.0002025462916004463     23                   194            
WT23-B18-107    0.000202499967678569      2                    136            
WT10-B36-88     0.00020227674703459552    3                    102            
WT27-B21-1      0.00020115201326860167    44                   45             
WT25-B13-334    0.0002005660540640309     64                   64             
WT02-B03-137    0.0002005608846172965     17                   138            
WT23-B20-268    0.0002004951290822769     22                   18             
WT27-B25-360    0.00019995106841689302    59                   33             
WT08-B09-310    0.00019956668289707372    0                    233            
WT17-B12-3      0.0001992851379982351     41                   42             
WT25-B01-250    0.00019857050675899763    41                   42             
WT07-B02-9      0.00019627425953105105    18                   254            
WT27-B07-331    0.00019542771316363941    19                   75             
WT24-B02-91     0.00019487473736950003    58                   57             
WT22-B07-426    0.0001928584716396414     36                   38             
WT14-B13-292    0.000191074012507611      37                   114            
WT12-B24-142    0.00019103331682630644    40                   41             
WT04-B29-34     0.00018918405584061472    15                   98             
WT24-B09-109    0.0001888641994448462     8                    96             
WT16-B27-59     0.00018768290014675086    7                    109            
WT24-B02-98     0.00018692321039459598    56                   55             
WT03-B24-155    0.00018628601814706818    8                    79             
WT12-B40-13     0.00018557289217132182    11                   209            
WT07-B40-281    0.00018524812225541385    7                    45             
WT25-B13-354    0.00018494634182971535    1                    35             
WT07-B23-109    0.0001842081493606244     4                    38             
WT10-B33-180    0.00018201592102125514    7                    75             
WT03-B23-47     0.00018197966546120852    18                   65             
WT22-B11-415    0.00018182988543336012    11                   67             
WT27-B19-54     0.0001812484293941998     5                    138            
WT23-B33-14     0.0001805687091966286     7                    90             
WT24-B26-3      0.0001804972099041757     3                    173            
WT21-B37-71     0.0001802247123000513     23                   560            
WT23-B14-50     0.00017990833892341982    12                   185            
WT23-B14-51     0.00017990833892341982    7                    185            
WT23-B14-53     0.00017990833892341982    8                    185            
WT23-B14-55     0.00017990833892341982    43                   185            
WT23-B14-56     0.00017990833892341982    7                    185            
WT25-B17-39     0.0001791484285026732     40                   126            
WT18-B26-434    0.00017885617311564635    62                   64             
WT27-B34-206    0.00017790707564551786    0                    192            
WT02-B28-270    0.00017695237904470163    6                    126            
WT02-B28-271    0.00017695237904470163    5                    126            
WT02-B28-272    0.00017695237904470163    6                    126            
WT02-B28-273    0.00017695237904470163    4                    126            
WT23-B14-52     0.00017684993241509       8                    183            
WT23-B14-54     0.00017684993241509       11                   183            
WT07-B14-22     0.0001766483754557277     37                   37             
WT02-B28-216    0.00017664715238391608    6                    125            
WT02-B28-224    0.00017664715238391608    5                    125            
WT02-B28-225    0.00017664715238391608    6                    125            
WT02-B28-226    0.00017664715238391608    4                    125            
WT10-B17-351    0.00017594744015460677    34                   35             
WT07-B17-239    0.00017586005683710966    12                   37             
WT13-B27-94     0.00017584548158083984    61                   69             
WT27-B38-273    0.00017545793690575842    10                   123            
WT27-B38-275    0.00017545793690575842    5                    123            
WT17-B34-498    0.0001744437716196119     21                   356            
WT17-B34-499    0.0001744437716196119     55                   356            
WT17-B34-500    0.0001744437716196119     52                   356            
WT17-B34-501    0.0001744437716196119     14                   356            
WT17-B34-502    0.0001744437716196119     17                   356            
WT17-B34-503    0.0001744437716196119     35                   356            
WT17-B34-504    0.0001744437716196119     21                   356            
WT17-B34-505    0.0001744437716196119     38                   356            
WT17-B34-506    0.0001744437716196119     22                   356            
WT17-B34-507    0.0001744437716196119     16                   356            
WT17-B34-508    0.0001744437716196119     13                   356            
WT17-B34-509    0.0001744437716196119     13                   356            
WT22-B14-452    0.00017436475564090246    110                  106            
WT24-B08-146    0.0001742758150719758     13                   159            
WT23-B14-244    0.0001737442501895872     16                   49             
WT02-B21-184    0.00017255524737943347    10                   67             
WT23-B29-120    0.00017250329017520844    20                   68             
WT12-B40-12     0.0001722617564849319     11                   208            
WT12-B40-9      0.00017226175648493185    11                   208            
WT13-B15-101    0.00017204975637491931    9                    106            
WT07-B02-32     0.00017201511961200647    162                  165            
WT23-B28-562    0.00017175762502964366    20                   68             
WT27-B20-291    0.00017157605069046598    9                    36             
WT02-B23-167    0.00017140703267279757    32                   34             
WT12-B40-14     0.00017103492370241957    10                   208            
WT12-B40-3      0.00016955898781678065    9                    208            
WT01-B12-77     0.0001694887983141158     59                   70             
WT27-B20-174    0.0001694842602203878     9                    107            
WT07-B40-166    0.00016864834497342442    4                    75             
WT07-B40-167    0.00016864834497342442    4                    75             
WT07-B40-168    0.00016864834497342442    4                    75             
WT13-B39-334    0.00016836413922553532    146                  145            
WT13-B39-315    0.0001683395696425931     146                  145            
WT12-B40-11     0.0001677495070981126     8                    208            
WT13-B17-278    0.00016759040600031655    10                   219            
WT18-B38-182    0.00016707400949497758    8                    81             
WT11-B04-34     0.00016617614997453618    33                   36             
WT13-B21-124    0.00016594876997800317    8                    65             
WT07-B19-144    0.00016563796101306895    37                   38             
WT14-B34-172    0.0001655723377411447     19                   43             
WT12-B39-315    0.0001655382055897738     8                    97             
WT10-B40-320    0.00016519615914689672    2                    29             
WT12-B06-139    0.0001650552465890475     1                    19             
WT02-B23-166    0.00016354842712697608    13                   85             
WT27-B21-3      0.00016252517521160123    34                   35             
WT25-B04-649    0.00016248185410376977    25                   218            
WT25-B04-650    0.00016205491160459155    7                    217            
WT25-B05-12     0.00016135144413873223    6                    217            
WT25-B05-34     0.00016135144413873223    0                    217            
WT27-B18-381    0.00016062725678883783    11                   90             
WT08-B33-284    0.00016023254528935193    14                   166            
WT08-B24-243    0.0001600415321707202     9                    72             
WT23-B28-180    0.00015996545475784372    6                    45             
WT06-B38-10     0.00015985187825915125    11                   50             
WT13-B34-256    0.00015943295576757214    21                   50             
WT12-B40-10     0.00015887306428141046    14                   168            
WT18-B18-177    0.00015878222799762626    25                   98             
WT08-B07-159    0.0001586863268425713     11                   92             
WT24-B11-274    0.00015817573961307804    196                  197            
WT18-B39-137    0.00015752247046506925    43                   60             
WT24-B18-182    0.00015749068533985543    3                    7              
WT24-B08-147    0.0001562959538949469     11                   146            
WT23-B30-89     0.00015610868569356529    367                  367            
WT02-B16-103    0.00015585601914888631    1                    19             
WT24-B11-54     0.00015569453762907343    8                    209            
WT25-B13-371    0.0001552061527195886     1                    18             
WT23-B32-191    0.0001550460110821253     17                   21             
WT27-B04-169    0.00015499431153479824    54                   141            
WT24-B40-140    0.00015499269498265536    8                    81             
WT12-B40-241    0.00015489649215769816    0                    342            
WT14-B02-403    0.00015429862393703423    32                   33             
WT24-B17-197    0.00015422405694355895    0                    133            
WT05-B11-312    0.00015418761898078532    36                   48             
WT19-B37-2      0.00015367490130141007    100                  110            
WT19-B36-96     0.00015353721679343239    9                    11             
WT23-B31-215    0.00015332328131374898    3                    209            
WT14-B15-37     0.00015331807344519608    10                   96             
WT04-B27-721    0.00015331725883609216    27                   176            
WT02-B16-123    0.00015286628698919278    3                    106            
WT24-B11-231    0.0001528487100602477     7                    198            
WT09-B34-124    0.00015282354976181646    4                    7              
WT19-B37-1      0.00015266391777890443    56                   110            
WT12-B40-17     0.00015204818035562044    8                    201            
WT10-B36-90     0.00015194241747440855    2                    98             
WT20-B39-186    0.00015118482233061317    33                   49             
WT09-B28-83     0.00015100439989658922    24                   146            
WT22-B09-181    0.00015069111459246876    9                    275            
WT01-B06-32     0.0001505091525384231     9                    52             
WT10-B35-237    0.00015013281090942439    14                   97             
WT07-B40-97     0.00014964790617158247    46                   52             
WT23-B29-123    0.00014947190373361998    12                   47             
WT23-B28-576    0.0001489491163478299     12                   47             
WT11-B15-220    0.000148355771553574      41                   71             
WT08-B23-282    0.00014811209365319752    30                   30             
WT10-B38-105    0.00014773923584734413    15                   117            
WT27-B38-271    0.00014765952097088806    5                    82             
WT27-B38-272    0.00014765952097088806    10                   82             
WT11-B02-151    0.00014754686815774497    28                   126            
WT27-B38-274    0.000147350887838932      5                    81             
WT23-B36-273    0.00014623786359995534    2                    26             
WT10-B38-108    0.00014618729660763536    11                   116            
WT10-B38-109    0.00014618729660763536    5                    116            
WT10-B38-110    0.00014618729660763536    5                    116            
WT21-B35-163    0.00014610113016618666    141                  8              
WT09-B34-220    0.0001460913486041104     4                    91             
WT09-B34-229    0.0001460913486041104     3                    91             
WT04-B22-262    0.00014563253122468678    62                   65             
WT18-B31-223    0.00014550175919835832    29                   32             
WT10-B16-675    0.00014542763779417677    1                    124            
WT09-B33-104    0.00014537948493449884    57                   61             
WT16-B27-185    0.00014529693787274754    0                    99             
WT18-B14-70     0.00014499040705366048    37                   43             
WT06-B31-160    0.00014471192833157565    39                   126            
WT16-B26-139    0.00014404888146406805    29                   30             
WT12-B24-140    0.0001437247970974301     26                   27             
WT24-B01-154    0.000143519294277317      15                   132            
WT24-B01-155    0.000143519294277317      14                   132            
WT24-B01-156    0.000143519294277317      8                    132            
WT24-B08-157    0.0001434556729536509     10                   147            
WT09-B33-103    0.00014327969687586385    58                   60             
WT02-B03-142    0.00014293004119947378    1                    5              
WT11-B16-268    0.0001429125156929678     18                   104            
WT11-B16-269    0.0001429125156929678     13                   104            
WT11-B16-270    0.0001429125156929678     11                   104            
WT19-B37-223    0.00014272170984418786    10                   109            
WT27-B19-473    0.00014229340653014423    9                    63             
WT14-B15-270    0.00014218335573806142    39                   37             
WT09-B34-230    0.00014109619795735649    22                   90             
WT04-B38-162    0.00014067927725687723    38                   78             
WT12-B31-228    0.0001406206285665967     7                    114            
WT12-B31-239    0.0001406206285665967     7                    114            
WT12-B31-240    0.0001406206285665967     7                    114            
WT12-B31-243    0.0001406206285665967     7                    114            
WT24-B08-158    0.000140468860693518      10                   138            
WT12-B31-225    0.0001403644630670898     7                    113            
WT12-B31-241    0.00014015099181750068    7                    112            
WT27-B19-320    0.00014004899171685044    64                   143            
WT12-B31-242    0.000139877818039539      7                    111            
WT13-B18-188    0.0001395810697825241     62                   177            
WT20-B40-44     0.0001395062884979608     1                    17             
WT10-B32-84     0.0001394718330875598     1                    55             
WT22-B38-424    0.00013866665728631537    1                    76             
WT10-B31-580    0.0001381110874545175     13                   101            
WT10-B31-581    0.0001381110874545175     5                    101            
WT10-B31-582    0.0001381110874545175     6                    101            
WT13-B37-273    0.00013803332284717876    12                   65             
WT27-B08-132    0.00013774288743813345    11                   95             
WT27-B27-28     0.0001371428161288876     1                    45             
WT07-B22-391    0.00013677055623849706    20                   29             
WT22-B09-35     0.00013639020749982544    4                    25             
WT22-B10-164    0.00013500142070491144    7                    273            
WT25-B13-303    0.00013483133981789813    1                    28             
WT16-B25-152    0.0001346002316868523     8                    55             
WT03-B21-27     0.00013434227057521067    12                   31             
WT03-B17-89     0.00013428236771858475    19                   55             
WT21-B36-136    0.00013414597975274262    12                   176            
WT08-B01-172    0.00013384759979253542    4                    74             
WT25-B13-352    0.00013371324288289084    1                    29             
WT25-B13-355    0.00013371324288289081    1                    29             
WT07-B02-14     0.00013349337853196203    88                   96             
WT04-B18-199    0.00013334505923005672    1                    5              
WT25-B11-82     0.00013310265622825415    5                    110            
WT25-B11-83     0.00013310265622825415    5                    110            
WT25-B11-84     0.00013310265622825415    11                   110            
WT25-B11-85     0.00013310265622825415    10                   110            
WT25-B11-86     0.00013310265622825415    16                   110            
WT21-B36-137    0.00013286515225520798    13                   175            
WT21-B36-138    0.00013286515225520798    12                   175            
WT21-B36-139    0.00013286515225520798    15                   175            
WT21-B36-140    0.00013286515225520798    15                   175            
WT21-B36-141    0.00013286515225520798    11                   175            
WT21-B36-142    0.00013286515225520798    14                   175            
WT21-B36-143    0.00013286515225520798    8                    175            
WT08-B26-265    0.00013251901751782697    1                    32             
WT04-B14-128    0.00013241955999411512    11                   35             
WT18-B14-67     0.00013239900375236493    52                   49             
WT14-B03-224    0.00013220919120712107    29                   30             
WT08-B01-106    0.00013207397666673663    11                   61             
WT22-B13-79     0.00013170870312549182    34                   272            
WT27-B08-97     0.00013167432488523777    8                    93             
WT13-B14-28     0.00013101229334655745    20                   38             
WT24-B02-94     0.00013096260786087658    44                   43             
WT13-B39-29     0.00013082889959045732    5                    45             
WT07-B40-170    0.00013069125666007373    3                    71             
WT14-B02-245    0.00013055819001503283    23                   38             
WT09-B37-199    0.00013054678092743081    25                   41             
WT10-B38-127    0.0001304907229749334     9                    114            
WT25-B30-216    0.00013027197538612807    31                   30             
WT02-B08-193    0.00013015921459882753    23                   50             
WT25-B05-10     0.00012990520103995114    5                    77             
